,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,7,74,98,35,13,0,12,51,18,0,73,2,.248,294,.294,.415,.709,1,1,.500,7,1153,316,122,38,116,0,2,.262,0.76,0,24.50,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,152,127,205,92,38,0,23,77,85,1,140,11,.260,539,.366,.458,.824,2,1,.333,17,2490,645,247,92,251,0,10,.261,0.62,0,23.44,150,259,143,7,409,.983,2.66,2.71,1336.1,151,39,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,54,45,39,16,7,0,2,86,26,0,45,4,.210,214,.306,.271,.577,1,7,.875,6,1003,,58,,,0,1,,1.15,0,,0,6,1,0,7,1.000,0.13,1.07,59.1,54,0,0,0,1.97,59.1,4,0,2,2,7,0,13,1.20,245,178,54,0,0,622,.620,4,0,7,0,1.000,16.90,18,3.31,13.04,3.94,6.83,2.43,0.30,27,10,,
676801,Chas McCormick,117,83,83,45,11,2,14,105,44,0,84,1,.237,354,.323,.398,.721,3,4,.571,5,1560,400,141,43,129,0,1,.297,1.00,0,25.29,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,28,30,7,3,0,0,18,4,0,24,0,.240,100,.269,.270,.539,3,14,.824,2,393,104,27,8,38,0,0,.293,0.93,0,-.--,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,3.00
664299,Cristian Javier,30,67,177,44,18,1,17,194,52,0,89,6,.170,524,.252,.305,.557,3,9,.750,4,2554,,160,,,2,1,,0.38,0,,25,3,2,0,5,1.000,0.17,0.30,148.2,30,1,0,0,2.54,148.2,11,9,0,0,1,0,42,0.95,585,446,30,0,0,1625,.640,6,1,5,1,.550,17.18,0,3.73,11.74,3.15,5.39,2.66,1.03,0,0,,
682073,David Hensley,13,9,4,6,2,0,1,6,4,0,8,0,.296,27,.387,.481,.868,0,0,.---,3,123,31,13,5,13,0,0,.350,2.25,0,27.00,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,30,282,102,71,24,2,11,184,66,0,164,11,.225,728,.299,.309,.608,0,7,1.000,25,2930,,225,,,2,2,,2.76,0,,30,23,6,1,30,.967,0.97,1.33,196.1,30,0,0,1,2.89,196.1,16,6,0,0,0,0,63,1.17,809,589,30,3,1,1893,.650,11,1,11,0,.727,14.92,0,2.79,8.43,3.03,7.52,3.25,0.50,0,0,,
593576,Hector Neris,69,42,68,29,13,1,3,79,17,0,49,6,.207,237,.277,.308,.585,1,3,.750,4,1005,,73,,,1,0,,0.62,0,,0,2,2,1,5,.800,0.06,0.56,64.2,69,1,0,1,3.76,64.2,6,4,3,7,25,4,27,1.02,261,194,69,0,0,668,.660,6,1,6,0,.600,15.54,26,4.65,10.99,2.37,6.82,4.04,0.42,7,1,,
686613,Hunter Brown,6,23,9,2,4,1,0,19,6,0,15,0,.227,66,.292,.318,.610,1,1,.500,2,273,,21,,,0,0,,2.56,0,,2,1,1,0,2,1.000,0.33,1.00,18.0,6,0,0,0,1.00,18.0,2,0,0,0,2,0,2,1.17,72,54,6,0,0,186,.680,0,0,0,0,1.000,15.17,0,3.17,9.50,3.00,7.50,1.00,0.00,0,0,,
676694,Jake Meyers,48,40,21,13,6,2,1,51,7,0,31,2,.218,142,.263,.310,.573,1,2,.667,1,603,152,44,14,57,0,1,.330,1.90,0,142.00,42,0,117,2,119,.983,2.44,2.77,380.2,48,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665161,Jeremy Pena,134,140,119,71,20,2,21,132,22,0,130,6,.252,515,.288,.421,.709,2,11,.846,5,1982,552,217,61,197,1,5,.297,1.18,3,24.52,130,341,143,19,503,.962,3.67,3.77,1154.0,132,62,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
