,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
681911,Alex Vesia,52,0,3,1,2,6,.667,0.08,0.84,43.1,52,0,0,2,28,42,13,4,0,2,61,19,0,33,2,.205,161,.295,.267,.562,1,2,.667,1,767,2.49,43.1,3,0,1,2,14,1,12,1.20,185,130,52,0,0,491,.640,2,0,1,0,43,0.67,1.000,17.70,5,3.21,12.67,3.95,6.85,2.70,0.42,23,7,0,2,1,,,,,,,
571760,Andrew Heaney,10,10,0,2,1,3,.667,0.20,0.39,46.2,10,0,0,1,27,45,19,10,1,7,70,12,0,37,7,.209,177,.284,.395,.679,1,0,.000,1,784,2.12,46.2,2,1,0,0,0,0,11,1.05,198,140,10,0,0,523,.670,7,0,0,0,70,0.60,.667,16.80,0,5.83,13.50,2.31,7.14,3.66,1.35,0,0,0,1,1,,,,,,,
605131,Austin Barnes,4,0,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,46,38,23,4,0,6,25,20,0,26,3,.194,134,.310,.358,.668,6,14,.700,5,642,,,,,,,,,,,,,,,,,,,,6,0,48,1.21,,,,,,,,,,,,0,0,1,158,22,69,.192,22.33,1,3.16
660813,Brusdar Graterol,41,0,10,12,0,22,1.000,0.54,4.50,44.2,41,0,0,0,66,26,17,8,1,3,39,10,1,32,3,.200,160,.256,.319,.575,0,1,1.000,4,601,3.02,44.2,2,3,3,4,9,1,15,0.94,176,134,41,0,0,429,.710,3,0,0,0,51,2.54,.400,13.46,10,3.90,7.86,2.01,6.45,3.43,0.60,24,8,0,0,3,,,,,,,
657571,Caleb Ferguson,24,0,1,0,0,1,1.000,0.04,0.39,23.1,24,0,0,0,20,25,3,2,0,0,22,10,0,9,1,.118,76,.230,.145,.375,0,0,.---,2,360,1.16,23.1,1,0,0,0,7,0,3,0.81,87,70,24,0,0,238,.660,1,0,0,0,11,0.80,1.000,15.43,2,2.20,8.49,3.86,3.47,1.16,0.00,2,0,0,0,0,,,,,,,
455119,Chris Martin,12,0,2,1,0,3,1.000,0.25,2.45,11.1,12,0,0,0,8,14,2,1,0,1,14,0,0,5,0,.122,41,.122,.220,.342,0,0,.---,0,153,1.59,11.1,3,0,1,1,0,0,2,0.44,41,34,12,0,0,114,.750,0,0,1,0,9,0.57,1.000,13.50,1,-.--,11.12,0.00,3.97,1.59,0.79,5,0,0,0,0,0,0,0,.---,-.--,,
621035,Chris Taylor,3,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,44,74,38,23,3,8,131,36,2,71,2,.224,317,.304,.391,.695,1,8,.889,4,1581,,,,,,,,,,,,,,,,,,,,,,124,0.59,,,,,,,,,,,,0,0,3,358,32,165,.348,39.62,,
641355,Cody Bellinger,115,110,2,271,3,276,.989,2.37,2.48,989.1,115,0,0,1,86,128,59,22,3,17,122,32,0,86,2,.206,418,.263,.395,.658,2,11,.846,7,1915,,,,,,,,,,,,,,,,,,,,,,165,0.67,,,,,,,,,,,,0,0,4,456,54,205,.244,24.59,,
518886,Craig Kimbrel,48,0,3,2,0,5,1.000,0.10,1.00,45.2,48,0,0,0,32,45,25,14,1,2,60,21,1,47,2,.257,183,.338,.377,.715,0,2,1.000,2,865,4.14,45.2,4,5,21,25,1,4,21,1.49,207,137,48,0,0,542,.630,2,1,7,0,69,0.71,.444,18.94,40,2.86,11.82,4.14,9.26,4.93,0.39,3,1,0,0,1,0,0,0,.---,-.--,,
456034,David Price,38,0,6,1,0,7,1.000,0.18,1.66,38.1,38,0,0,0,50,27,11,10,0,6,37,8,2,37,0,.247,150,.285,.433,.718,0,2,1.000,3,570,2.58,38.1,2,0,1,3,4,2,11,1.17,159,115,38,0,0,389,.680,0,0,0,0,65,1.85,1.000,14.87,12,4.63,8.69,1.88,8.69,2.58,1.41,12,4,0,1,0,0,0,0,.---,-.--,,
669160,Dustin May,2,2,4,0,0,4,1.000,2.00,3.27,11.0,2,0,0,0,9,9,2,0,0,0,13,3,0,6,1,.162,37,.244,.162,.406,0,3,1.000,0,157,1.64,11.0,1,1,0,0,0,0,2,0.82,41,33,2,0,0,104,.660,1,0,0,0,6,1.00,.500,14.27,0,4.33,10.64,2.45,4.91,1.64,0.00,0,0,0,0,0,,,,,,,
623465,Evan Phillips,52,0,6,3,0,9,1.000,0.17,1.59,51.2,52,0,0,0,43,50,10,4,0,2,58,12,1,24,2,.139,173,.201,.197,.398,0,1,1.000,2,737,1.22,51.2,5,3,2,4,16,2,7,0.70,189,155,52,0,0,488,.660,2,0,0,0,34,0.86,.625,14.26,9,4.83,10.10,2.09,4.18,1.74,0.35,18,3,0,0,2,1,0,0,.---,-.--,,
518692,Freddie Freeman,128,128,69,931,3,1003,.997,7.81,8.11,1110.2,128,80,0,0,114,148,92,43,2,16,83,59,7,164,5,.326,503,.398,.515,.913,2,10,.833,5,2216,,,,,,,,,,,,,,,,,,,,,,259,0.77,,,,,,,,,,,,0,0,6,573,81,172,.361,31.44,,
666158,Gavin Lux,28,24,0,29,0,29,1.000,1.04,1.27,205.1,28,0,0,0,102,79,61,18,7,6,77,46,0,107,0,.296,362,.372,.434,.806,2,7,.778,2,1638,,,,,,,,,,,,,,,,,,,,,,157,1.29,,,,,,,,,,,,0,0,3,411,42,168,.358,60.33,,
593643,Hanser Alberto,6,0,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,3,15,3,1,0,1,0,1,0,7,1,.280,25,.333,.440,.773,0,0,.---,0,83,4.50,6.0,0,0,0,0,0,0,3,1.33,27,18,6,0,0,56,.670,1,0,0,0,11,0.20,.---,13.83,6,0.00,0.00,1.50,10.50,4.50,1.50,0,0,0,0,0,131,14,68,.276,64.50,,
592390,Heath Hembree,20,0,0,0,0,0,.000,0.00,0.00,16.1,20,0,0,0,10,25,13,6,0,5,12,14,1,17,0,.274,62,.397,.613,1.010,1,6,.857,0,301,7.16,16.1,2,0,0,1,2,1,13,1.90,78,49,20,0,0,178,.590,0,0,1,0,38,0.40,1.000,18.43,3,0.86,6.61,7.71,9.37,7.16,2.76,13,7,0,0,2,,,,,,,
596082,Jake Reed,5,0,1,0,1,2,.500,0.20,1.50,6.1,5,0,0,1,4,9,8,1,0,2,6,6,0,4,1,.174,23,.367,.478,.845,0,0,.---,0,134,11.37,6.1,1,0,0,0,0,0,8,1.58,30,19,5,0,0,75,.560,1,0,0,0,11,0.44,1.000,21.16,1,1.00,8.53,8.53,5.68,11.37,2.84,2,1,0,0,0,0,0,0,.---,-.--,,
608336,Joey Gallo,1,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,273,24,122,.217,19.42,,
628711,Julio Urias,25,25,8,3,1,12,.917,0.44,0.71,139.2,25,0,0,1,117,157,43,18,3,17,137,31,0,102,5,.200,510,.251,.347,.598,3,3,.500,10,2099,2.32,139.2,14,7,0,0,0,0,36,0.95,549,419,25,0,0,1454,.690,5,1,0,1,177,0.75,.667,15.03,0,4.42,8.83,2.00,6.57,2.77,1.10,0,0,0,0,3,,,,,,,
457759,Justin Turner,47,47,0,0,0,0,.000,0.00,-.--,0.0,47,0,0,0,82,130,47,28,0,9,72,40,1,101,5,.267,378,.340,.413,.753,0,3,1.000,12,1747,,,,,,,,,,,,,,,,,,,,,,156,0.63,,,,,,,,,,,,0,0,7,430,66,162,.303,42.00,,
571970,Max Muncy,19,19,0,0,0,0,.000,0.00,-.--,0.0,19,0,0,0,72,119,54,16,1,16,110,73,1,68,2,.187,363,.322,.369,.691,0,2,1.000,2,1918,,,,,,,,,,,,,,,,,,,,,,134,0.61,,,,,,,,,,,,0,0,6,444,51,177,.214,22.69,,
605141,Mookie Betts,109,106,8,241,0,249,1.000,2.28,2.41,928.1,109,4,0,0,103,142,100,29,2,31,82,45,0,127,6,.282,451,.352,.561,.913,1,12,.923,8,1926,,,,,,,,,,,,,,,,,,,,,,253,0.73,,,,,,,,,,,,0,0,3,505,69,160,.282,14.55,,
