,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
608324,Alex Bregman,127,108,167,81,34,0,20,68,73,1,121,7,.265,456,.369,.471,.840,1,1,.500,17,2085,544,215,78,210,0,8,.269,0.65,0,22.80,126,210,123,6,339,.982,2.62,2.68,1120.1,127,33,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656232,Brandon Bielak,5,13,11,5,1,0,2,12,4,0,11,3,.234,47,.333,.383,.716,0,0,.---,1,226,,18,,,0,0,,1.18,0,,0,0,0,0,0,.000,0.00,0.00,12.1,5,0,0,0,3.65,12.1,0,0,0,0,1,0,5,1.22,54,37,5,0,0,139,.620,3,0,1,0,.---,18.32,2,3.00,8.76,2.92,8.03,3.65,1.46,1,0,,
650556,Bryan Abreu,43,38,34,14,7,0,1,71,21,0,36,4,.202,178,.299,.258,.557,1,3,.750,5,844,,46,,,0,1,,1.12,0,,0,6,1,0,7,1.000,0.16,1.29,49.2,43,0,0,0,1.99,49.2,4,0,2,2,4,0,11,1.15,204,149,43,0,0,521,.620,4,0,7,0,1.000,16.99,15,3.38,12.87,3.81,6.52,2.54,0.18,19,8,,
676801,Chas McCormick,1,68,71,38,11,2,12,84,37,0,68,1,.234,290,.322,.410,.732,2,2,.500,5,1270,329,119,37,114,0,1,.287,0.96,0,24.17,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,17,16,5,0,0,0,7,3,0,16,0,.286,56,.322,.286,.608,3,9,.750,1,227,59,16,5,20,0,0,.327,1.06,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,0,3.23
664299,Cristian Javier,25,52,147,41,18,1,16,157,44,0,79,6,.182,433,.267,.339,.606,2,8,.800,3,2107,,147,,,1,1,,0.35,0,,20,1,2,0,3,1.000,0.12,0.23,120.1,25,0,0,0,3.07,120.1,8,9,0,0,1,0,41,1.02,485,361,25,0,0,1324,.630,6,1,5,0,.471,17.51,0,3.57,11.74,3.29,5.91,3.07,1.20,0,0,,
682073,David Hensley,3,4,1,3,2,0,0,5,1,0,6,0,.375,16,.412,.500,.912,0,0,.---,1,62,17,8,2,8,0,0,.545,4.00,0,-.--,2,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,25,236,85,52,19,1,9,150,56,0,127,11,.214,594,.293,.295,.588,0,5,1.000,22,2433,,175,,,2,2,,2.78,0,,25,20,5,1,26,.962,1.00,1.37,164.0,25,0,0,1,2.63,164.0,14,4,0,0,0,0,48,1.12,665,492,25,2,0,1569,.640,11,1,7,0,.778,14.84,0,2.68,8.23,3.07,6.97,2.85,0.49,0,0,,
593576,Hector Neris,59,34,63,22,12,1,2,66,15,0,39,6,.193,202,.269,.292,.561,1,3,.750,4,854,,59,,,0,0,,0.54,0,,0,2,1,0,3,1.000,0.05,0.48,56.1,59,1,0,0,3.36,56.1,4,4,3,6,23,3,21,0.96,223,169,59,0,0,562,.660,6,1,5,0,.500,15.16,22,4.40,10.54,2.40,6.23,3.51,0.32,6,1,,
656695,J.J. Matijevic,10,16,11,7,2,0,2,23,2,0,13,2,.206,63,.254,.333,.587,0,1,1.000,1,255,67,21,5,31,0,0,.289,1.45,0,31.50,7,0,0,0,0,.000,0.00,-.--,0.0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
