,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
681911,Alex Vesia,62,0,30,54,14,5,0,2,77,24,1,36,2,.186,194,.281,.242,.523,1,3,.750,1,938,2.19,53.1,5,0,1,3,16,2,13,1.13,223,160,62,0,0,603,.640,2,0,2,0,47,0.56,1.000,17.59,6,3.21,12.99,4.05,6.08,2.36,0.34,27,7,0,2,1,4,1,2,7,.714,0.08,0.85,53.1,62,0,0,2,,,,,,,
571760,Andrew Heaney,15,14,41,66,31,15,1,13,103,19,0,55,9,.209,263,.284,.422,.706,1,0,.000,1,1168,2.88,68.2,4,3,0,0,0,0,22,1.08,293,206,15,0,0,777,.670,9,0,0,0,111,0.62,.571,17.01,0,5.42,13.50,2.49,7.21,4.06,1.70,0,0,0,1,1,2,2,1,5,.800,0.27,0.53,68.2,15,0,0,1,,,,,,,
605131,Austin Barnes,59,0,53,49,31,6,0,8,35,25,0,38,3,.221,172,.328,.395,.723,1,2,.667,5,811,,,,,,,,,,,,,,,,,,,,9,0,68,1.08,,,,,,,,,,,,0,2,1,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,2,3.15,203,25,85,.231,21.50
660813,Brusdar Graterol,44,1,70,27,19,8,1,3,42,10,1,37,3,.214,173,.265,.324,.589,0,1,1.000,5,646,3.21,47.2,2,3,3,4,10,1,17,0.99,189,143,44,0,0,462,.720,3,0,0,0,56,2.59,.400,13.55,10,4.20,7.93,1.89,6.99,3.59,0.57,24,8,0,0,3,10,13,0,23,1.000,0.52,4.40,47.2,44,0,0,0,,,,,,,
657571,Caleb Ferguson,35,1,27,34,9,8,0,1,34,15,0,21,1,.181,116,.280,.276,.556,1,1,.500,3,532,1.91,33.0,1,0,0,0,8,0,7,1.09,132,99,35,0,0,346,.650,1,0,0,1,32,0.79,1.000,16.12,2,2.27,9.27,4.09,5.73,2.45,0.27,3,0,0,0,0,2,0,0,2,1.000,0.06,0.55,33.0,35,0,0,0,,,,,,,
455119,Chris Martin,24,0,18,25,4,2,0,1,31,1,0,12,1,.141,85,.159,.200,.359,0,1,1.000,0,331,1.54,23.1,3,1,2,3,2,1,4,0.56,88,70,24,0,0,246,.740,1,0,1,0,17,0.72,.750,14.19,2,31.00,11.96,0.39,4.63,1.54,0.39,13,1,0,0,1,3,2,0,5,1.000,0.21,1.96,23.1,24,0,0,0,,,0,0,0,.---,-.--
621035,Chris Taylor,118,5,56,100,45,25,3,10,160,44,2,89,5,.221,402,.304,.373,.677,1,10,.909,4,1980,,,,,,,,,,,,,,,,,,,,,,150,0.56,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,454,43,212,.336,40.20
477132,Clayton Kershaw,21,21,120,109,35,16,1,9,128,22,0,95,2,.212,449,.251,.312,.563,2,3,.600,8,1770,2.30,121.1,11,3,0,0,0,0,31,0.96,476,364,21,0,0,1197,.680,2,1,0,2,140,1.10,.786,14.59,0,5.82,9.49,1.63,7.05,2.60,0.67,0,0,0,1,2,10,3,2,15,.867,0.62,0.97,121.1,21,0,0,2,,,,,,,
641355,Cody Bellinger,139,130,97,151,69,27,3,18,145,38,0,99,2,.203,488,.261,.381,.642,2,14,.875,7,2234,,,,,,,,,,,,,,,,,,,,,,186,0.64,,,,,,,,,,,,0,0,4,2,314,3,319,.991,2.27,2.41,1178.0,139,0,0,1,,,532,63,229,.246,27.11
518886,Craig Kimbrel,60,0,45,57,31,14,1,4,66,26,2,51,5,.235,217,.329,.364,.693,1,3,.750,4,1019,3.95,57.0,6,7,22,27,2,5,25,1.35,250,171,60,0,0,637,.630,5,1,7,0,79,0.79,.462,17.88,47,2.54,10.42,4.11,8.05,4.89,0.63,3,1,0,1,1,3,3,0,6,1.000,0.10,0.95,57.0,60,0,0,0,,,0,0,0,.---,-.--
456034,David Price,40,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,2.45,40.1,2,0,2,4,4,2,11,1.17,167,121,40,0,0,403,.680,0,0,0,0,0,-.--,1.000,14.78,13,4.11,8.26,2.01,8.48,2.45,1.34,12,4,0,0,0,6,1,0,7,1.000,0.18,1.58,40.1,40,0,0,0,,,0,0,0,.---,-.--
623465,Evan Phillips,62,0,50,54,11,6,0,2,72,15,1,30,3,.147,204,.214,.206,.420,1,2,.667,4,884,1.18,61.0,6,3,2,4,19,2,8,0.74,224,183,62,0,0,585,.660,3,0,0,0,42,0.93,.667,14.49,9,4.80,10.62,2.21,4.43,1.62,0.30,22,5,0,0,2,8,3,0,11,1.000,0.18,1.62,61.0,62,0,0,0,,,1,0,0,.---,-.--
518692,Freddie Freeman,154,154,138,170,114,46,2,20,98,82,12,194,5,.327,593,.409,.513,.922,3,13,.813,6,2682,,,,,,,,,,,,,,,,,,,,,,304,0.81,,,,,,,,,,,,0,0,7,89,1114,5,1208,.996,7.81,8.13,1332.2,154,96,0,0,,,687,97,198,.361,29.65
666158,Gavin Lux,124,1,116,85,64,19,7,6,90,46,0,114,0,.284,402,.355,.410,.765,2,7,.778,3,1771,,,,,,,,,,,,,,,,,,,,,,165,1.36,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,451,42,194,.350,67.00
593643,Hanser Alberto,70,0,53,39,13,9,2,2,25,2,0,35,0,.230,152,.240,.355,.595,1,0,.000,7,505,4.09,11.0,0,0,0,0,0,0,5,1.18,47,33,10,0,0,90,.590,1,0,0,0,54,1.36,.---,13.82,10,0.33,0.82,2.45,8.18,4.09,1.64,0,0,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,154,15,79,.264,76.00
608336,Joey Gallo,82,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,,,273,24,122,.217,19.42
628711,Julio Urias,30,30,149,189,49,19,3,21,162,40,0,123,5,.199,619,.251,.341,.592,4,5,.556,13,2539,2.12,170.0,17,7,0,0,0,0,40,0.96,668,510,30,0,0,1752,.690,5,1,0,2,211,0.79,.708,14.94,0,4.05,8.58,2.12,6.51,2.59,1.11,0,0,0,0,4,11,3,1,15,.933,0.47,0.74,170.0,30,0,0,1,,,,,,,
457759,Justin Turner,59,59,95,156,61,36,0,13,86,50,1,128,6,.280,457,.353,.444,.797,0,3,1.000,13,2103,,,,,,,,,,,,,,,,,,,,,,203,0.61,,,,,,,,,,,,0,0,8,0,0,0,0,.000,0.00,-.--,0.0,59,0,0,0,,,521,81,199,.314,35.15
571970,Max Muncy,131,24,84,146,69,22,1,21,137,87,1,90,4,.200,451,.330,.392,.722,0,2,1.000,2,2368,,,,,,,,,,,,,,,,,,,,,,177,0.58,,,,,,,,,,,,0,0,6,0,0,0,0,.000,0.00,-.--,0.0,24,0,0,0,,,548,69,210,.231,21.48
675627,Michael Grove,6,5,25,31,17,5,1,4,21,8,1,26,0,.252,103,.306,.437,.743,0,6,1.000,0,396,4.07,24.1,1,0,0,0,0,0,11,1.40,111,73,6,0,0,259,.650,0,0,1,0,45,0.81,1.000,16.27,1,2.63,7.77,2.96,9.62,6.29,1.48,0,0,0,0,0,2,1,0,3,1.000,0.50,1.13,24.1,6,0,0,0,,,,,,,
678246,Miguel Vargas,14,3,9,16,3,1,0,1,10,1,0,8,0,.190,42,.205,.286,.491,0,1,1.000,0,174,,,,,,,,,,,,,,,,,,,,,,12,0.56,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,44,8,16,.219,42.00
605141,Mookie Betts,138,0,124,186,115,39,3,35,101,54,0,152,8,.272,559,.342,.540,.882,2,12,.857,8,2388,,,,,,,,,,,,,,,,,,,,,,302,0.67,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,625,82,191,.274,15.97
592454,Tommy Kahnle,11,0,11,5,4,0,0,2,14,3,0,4,3,.121,33,.250,.303,.553,0,0,.---,1,146,3.38,10.2,0,0,1,1,1,0,4,0.66,40,32,11,0,0,100,.680,3,0,1,0,10,2.20,.---,13.69,2,4.67,11.81,2.53,3.38,3.38,1.69,0,0,0,0,1,2,4,0,6,1.000,0.55,5.40,10.2,11,0,0,0,,,,,,,
572204,Trayce Thompson,6,2,4,2,1,0,0,0,7,2,0,1,0,.071,14,.188,.071,.259,1,0,.000,0,72,,,,,,,,,,,,,,,,,,,,,,1,2.00,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,16,2,8,.143,-.--
