,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,90,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,74,99,35,13,0,12,52,18,0,73,2,.247,296,.292,.412,.704,1,1,.500,7,1157,318,122,38,116,0,2,.261,0.75,0,24.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,153,151,261,143,7,411,.983,2.66,2.71,1342.1,152,39,0,3,128,206,92,38,0,23,77,85,1,140,11,.259,541,.365,.457,.822,2,1,.333,17,2495,647,247,92,251,0,10,.259,0.62,0,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,54,0,6,1,0,7,1.000,0.13,1.07,59.1,54,0,0,0,45,39,16,7,0,2,86,26,0,45,4,.210,214,.306,.271,.577,1,7,.875,6,1003,,58,,,0,1,,1.15,0,,1.97,59.1,4,0,2,2,7,0,13,1.20,245,178,54,0,0,622,.620,4,0,7,0,1.000,16.90,18,3.31,13.04,3.94,6.83,2.43,0.30,27,10,,
676801,Chas McCormick,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,83,83,45,11,2,14,105,44,0,84,1,.237,354,.323,.398,.721,3,4,.571,5,1560,400,141,43,129,0,1,.297,1.00,0,25.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,33,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,29,30,7,3,0,0,18,4,0,24,0,.238,101,.267,.267,.534,2,0,.000,2,394,105,27,8,38,0,0,.289,0.97,0,-.--,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,3.05
664299,Cristian Javier,30,25,3,2,0,5,1.000,0.17,0.30,148.2,30,1,0,0,67,177,44,18,1,17,194,52,0,89,6,.170,524,.252,.305,.557,3,9,.750,4,2554,,160,,,2,1,,0.38,0,,2.54,148.2,11,9,0,0,1,0,42,0.95,585,446,30,0,0,1625,.640,6,1,5,1,.550,17.18,0,3.73,11.74,3.15,5.39,2.66,1.03,0,0,,
682073,David Hensley,14,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,9,4,6,2,0,1,6,4,0,9,0,.321,28,.406,.500,.906,0,0,.---,3,128,32,14,5,13,0,0,.381,2.25,0,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,30,30,23,6,1,30,.967,0.97,1.33,196.1,30,0,0,1,282,102,71,24,2,11,184,66,0,164,11,.225,728,.299,.309,.608,0,7,1.000,25,2930,,225,,,2,2,,2.76,0,,2.89,196.1,16,6,0,0,0,0,63,1.17,809,589,30,3,1,1893,.650,11,1,11,0,.727,14.92,0,2.79,8.43,3.03,7.52,3.25,0.50,0,0,,
593576,Hector Neris,69,0,2,2,1,5,.800,0.06,0.56,64.2,69,1,0,1,42,68,29,13,1,3,79,17,0,49,6,.207,237,.277,.308,.585,1,3,.750,4,1005,,73,,,1,0,,0.62,0,,3.76,64.2,6,4,3,7,25,4,27,1.02,261,194,69,0,0,668,.660,6,1,6,0,.600,15.54,26,4.65,10.99,2.37,6.82,4.04,0.42,7,1,,
686613,Hunter Brown,6,2,1,1,0,2,1.000,0.33,1.00,18.0,6,0,0,0,23,9,2,4,1,0,19,6,0,15,0,.227,66,.292,.318,.610,1,1,.500,2,273,,21,,,0,0,,2.56,0,,1.00,18.0,2,0,0,0,2,0,2,1.17,72,54,6,0,0,186,.680,0,0,0,0,1.000,15.17,0,3.17,9.50,3.00,7.50,1.00,0.00,0,0,,
676694,Jake Meyers,49,43,0,117,2,119,.983,2.39,2.71,389.2,49,0,0,0,40,22,13,6,2,1,53,7,0,31,2,.214,145,.258,.303,.561,1,2,.667,1,617,155,44,14,57,0,1,.326,1.82,0,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665161,Jeremy Pena,133,131,345,145,19,509,.963,3.68,3.80,1160.0,133,64,0,9,140,119,71,20,2,21,134,22,0,130,6,.251,517,.287,.420,.707,2,11,.846,5,1988,554,217,61,197,1,5,.297,1.18,3,24.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514888,Jose Altuve,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,133,150,102,37,0,28,87,66,2,155,10,.296,524,.384,.527,.911,1,18,.947,13,2297,601,276,57,132,0,1,.310,0.89,0,18.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664353,Jose Urquidy,29,28,11,6,0,17,1.000,0.59,0.93,164.1,29,1,0,0,135,213,74,33,1,29,134,38,0,154,7,.244,630,.292,.438,.730,3,11,.786,8,2640,,276,,,0,6,,0.63,0,,3.94,164.1,13,8,0,0,0,0,72,1.17,681,493,29,0,0,1788,.680,7,0,5,0,.619,16.06,0,3.53,7.34,2.08,8.43,4.05,1.59,0,0,,
434378,Justin Verlander,27,27,15,4,1,20,.950,0.70,1.01,170.0,27,2,0,1,128,197,43,15,1,12,175,28,0,116,6,.190,610,.231,.277,.508,3,10,.769,8,2530,,169,,,1,5,,0.65,0,,1.80,170.0,17,4,0,0,0,0,34,0.85,650,510,27,0,0,1736,.690,6,0,3,0,.810,14.88,0,6.25,9.26,1.48,6.14,2.28,0.64,0,0,,
