,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,6,64,83,31,12,0,10,46,17,0,66,2,.256,258,.306,.419,.725,1,1,.500,7,1026,278,108,32,105,0,1,.276,0.77,0,25.80,6,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,136,110,182,86,35,0,21,72,81,1,130,8,.268,485,.376,.470,.846,2,1,.333,17,2251,583,228,85,226,0,9,.272,0.60,0,23.10,135,225,129,7,361,.981,2.60,2.65,1202.1,136,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,47,43,37,15,7,0,2,77,22,0,38,4,.196,194,.290,.263,.553,1,3,.750,6,904,,51,,,0,1,,1.16,0,,0,6,1,0,7,1.000,0.15,1.17,54.2,47,0,0,0,1.98,54.2,4,0,2,2,6,0,12,1.10,221,164,47,0,0,560,.620,4,0,7,0,1.000,16.54,15,3.50,12.68,3.62,6.26,2.47,0.33,21,8,,
676801,Chas McCormick,1,73,75,39,11,2,13,92,39,0,73,1,.234,312,.320,.407,.727,2,2,.500,5,1371,353,127,41,119,0,1,.288,0.97,0,24.00,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,18,24,5,0,0,0,11,4,0,16,0,.232,69,.274,.232,.506,3,10,.769,1,281,73,16,5,28,0,0,.276,0.75,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,0,2.99
664299,Cristian Javier,27,61,157,44,18,1,17,173,46,0,85,6,.180,473,.260,.330,.590,2,9,.818,3,2293,,156,,,2,1,,0.39,0,,22,1,2,0,3,1.000,0.11,0.21,131.2,27,0,0,0,2.87,131.2,9,9,0,0,1,0,42,0.99,528,395,27,0,0,1450,.630,6,1,5,0,.500,17.42,0,3.76,11.83,3.14,5.81,3.01,1.16,0,0,,
682073,David Hensley,5,6,2,4,2,0,0,5,4,0,6,0,.316,19,.435,.421,.856,0,0,.---,2,91,23,8,2,9,0,0,.429,3.00,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,27,253,96,56,21,1,9,169,61,0,139,11,.213,653,.290,.289,.579,0,7,1.000,23,2647,,189,,,2,2,,2.64,0,,27,20,5,1,26,.962,0.93,1.26,179.2,27,0,0,1,2.50,179.2,15,5,0,0,0,0,50,1.11,729,539,27,3,1,1711,.650,11,1,10,0,.750,14.73,0,2.77,8.47,3.06,6.96,2.81,0.45,0,0,,
593576,Hector Neris,63,37,66,24,13,1,3,72,15,0,42,6,.194,217,.265,.304,.569,1,3,.750,4,914,,66,,,0,0,,0.56,0,,0,2,2,0,4,1.000,0.06,0.60,60.1,63,1,0,0,3.43,60.1,5,4,3,6,24,3,23,0.94,238,181,63,0,0,610,.670,6,1,5,0,.556,15.15,24,4.80,10.74,2.24,6.27,3.58,0.45,6,1,,
686613,Hunter Brown,2,14,8,2,2,1,0,11,3,0,8,0,.195,41,.250,.293,.543,1,0,.000,2,161,,12,,,0,0,,1.75,0,,2,1,1,0,2,1.000,1.00,1.50,12.0,2,0,0,0,1.50,12.0,2,0,0,0,0,0,2,0.92,44,36,2,0,0,113,.700,0,0,0,0,1.000,13.42,0,3.67,8.25,2.25,6.00,1.50,0.00,0,0,,
