,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
681911,Alex Vesia,54,0,29,44,13,4,0,2,65,21,0,33,2,.196,168,.292,.256,.548,1,2,.667,1,813,2.36,45.2,4,0,1,2,14,1,12,1.18,194,137,54,0,0,520,.640,2,0,1,0,43,0.66,1.000,17.80,6,3.10,12.81,4.14,6.50,2.56,0.39,25,7,0,2,1,4,1,2,7,.714,0.09,1.00,45.2,54,0,0,2,,,,,,,
571760,Andrew Heaney,11,11,32,48,25,10,1,11,78,13,0,43,8,.216,199,.290,.442,.732,1,0,.000,1,874,2.94,52.0,2,2,0,0,0,0,17,1.08,222,156,11,0,0,588,.670,8,0,0,0,88,0.67,.500,16.81,0,6.00,13.50,2.25,7.44,4.33,1.90,0,0,0,1,1,1,2,1,4,.750,0.27,0.52,52.0,11,0,0,1,,,,,,,
605131,Austin Barnes,4,0,48,38,27,5,0,7,27,21,0,32,3,.222,144,.331,.403,.734,6,15,.714,5,677,,,,,,,,,,,,,,,,,,,,6,0,58,1.26,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,169,23,73,.225,20.57,1,3.19
595014,Blake Treinen,5,0,6,3,1,0,0,1,6,1,0,1,0,.063,16,.118,.250,.368,0,0,.---,0,69,1.80,5.0,1,1,0,0,1,0,1,0.40,17,15,5,0,0,46,.670,0,0,0,0,4,2.00,.500,13.80,1,6.00,10.80,1.80,1.80,1.80,1.80,0,0,0,0,0,0,0,0,0,.000,0.00,0.00,5.0,5,0,0,0,,,,,,,
657571,Caleb Ferguson,27,1,21,27,5,4,0,0,27,11,0,12,1,.138,87,.242,.184,.426,0,1,1.000,2,408,1.73,26.0,1,0,0,0,7,0,5,0.88,99,78,27,0,0,268,.660,1,0,0,0,16,0.78,1.000,15.69,2,2.45,9.35,3.81,4.15,1.73,0.00,3,0,0,0,0,1,0,0,1,1.000,0.04,0.35,26.0,27,0,0,0,,,,,,,
455119,Chris Martin,15,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,2.51,14.1,3,1,1,2,1,1,4,0.49,53,43,15,0,0,156,.740,0,0,1,0,0,-.--,.750,14.72,1,-.--,11.30,0.00,4.40,2.51,0.63,6,0,0,0,0,2,1,0,3,1.000,0.20,1.93,14.1,15,0,0,0,0,0,0,.---,-.--,,
621035,Chris Taylor,3,3,46,80,39,23,3,8,139,40,2,73,4,.218,335,.306,.376,.682,1,9,.900,4,1689,,,,,,,,,,,,,,,,,,,,,,126,0.58,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,382,34,174,.340,41.88,,
477132,Clayton Kershaw,17,17,92,89,32,13,1,8,102,18,0,75,2,.211,355,.252,.321,.573,2,3,.600,6,1418,2.62,96.1,7,3,0,0,0,0,28,0.97,378,289,17,0,0,951,.670,2,1,0,2,114,1.03,.700,14.72,0,5.67,9.53,1.68,7.01,2.99,0.75,0,0,0,1,2,10,1,1,12,.917,0.65,1.03,96.1,17,0,0,1,,,,,,,
641355,Cody Bellinger,121,115,88,132,60,22,3,17,130,36,0,86,2,.199,432,.262,.382,.644,2,12,.857,7,1990,,,,,,,,,,,,,,,,,,,,,,165,0.67,,,,,,,,,,,,0,0,4,2,277,3,282,.989,2.31,2.43,1034.1,121,0,0,1,474,55,215,.239,25.41,,
518886,Craig Kimbrel,51,0,35,49,25,14,1,2,62,21,1,47,2,.245,192,.324,.359,.683,0,2,1.000,2,900,3.88,48.2,4,5,22,26,1,4,21,1.40,216,146,51,0,0,566,.630,2,1,7,0,69,0.71,.444,18.49,42,2.95,11.47,3.88,8.69,4.62,0.37,3,1,0,0,1,3,2,0,5,1.000,0.10,0.94,48.2,51,0,0,0,0,0,0,.---,-.--,,
669160,Dustin May,3,3,16,12,8,0,0,2,18,8,0,9,3,.164,55,.303,.273,.576,0,3,1.000,1,244,3.94,16.0,1,2,0,0,0,0,7,1.06,66,48,3,0,0,157,.640,3,0,0,0,15,1.33,.333,15.25,0,2.25,10.13,4.50,5.06,4.50,1.13,0,0,0,0,0,4,0,1,5,.800,1.33,2.25,16.0,3,0,0,0,,,,,,,
623465,Evan Phillips,54,0,44,50,11,6,0,2,61,14,1,27,3,.150,180,.221,.217,.438,0,1,1.000,3,778,1.35,53.1,6,3,2,4,17,2,8,0.77,199,160,54,0,0,514,.660,3,0,0,0,39,0.88,.667,14.59,9,4.36,10.29,2.36,4.56,1.86,0.34,21,5,0,0,2,6,3,0,9,1.000,0.17,1.53,53.1,54,0,0,0,1,0,0,.---,-.--,,
518692,Freddie Freeman,136,136,122,154,100,44,2,17,89,64,7,172,5,.324,531,.398,.510,.908,2,11,.846,5,2345,,,,,,,,,,,,,,,,,,,,,,271,0.79,,,,,,,,,,,,0,0,6,74,986,3,1063,.997,7.79,8.13,1174.2,136,84,0,0,606,84,182,.360,31.24,,
666158,Gavin Lux,28,24,105,80,62,18,7,6,79,46,0,108,0,.293,369,.368,.428,.796,2,7,.778,3,1663,,,,,,,,,,,,,,,,,,,,,,158,1.31,,,,,,,,,,,,0,0,3,0,29,0,29,1.000,1.04,1.27,205.1,28,0,0,0,418,42,173,.355,61.50,,
593643,Hanser Alberto,5,1,45,35,12,8,2,2,23,2,0,32,0,.237,135,.248,.370,.618,1,0,.000,4,454,3.38,8.0,0,0,0,0,0,0,3,1.38,36,24,8,0,0,70,.600,1,0,0,0,50,1.29,.---,14.63,8,0.33,1.13,3.38,9.00,3.38,1.13,0,0,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,137,14,72,.273,67.50,,
592390,Heath Hembree,20,0,10,25,13,6,0,5,12,14,1,17,0,.274,62,.397,.613,1.010,1,6,.857,0,301,7.16,16.1,2,0,0,1,2,1,13,1.90,78,49,20,0,0,178,.590,0,0,1,0,38,0.40,1.000,18.43,3,0.86,6.61,7.71,9.37,7.16,2.76,13,7,0,0,2,0,0,0,0,.000,0.00,0.00,16.1,20,0,0,0,,,,,,,
608336,Joey Gallo,1,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,273,24,122,.217,19.42,,
628711,Julio Urias,26,26,121,169,44,18,3,18,139,34,0,104,5,.196,530,.250,.343,.593,3,3,.500,10,2177,2.29,145.2,15,7,0,0,0,0,37,0.95,572,437,26,0,0,1505,.690,5,1,0,1,182,0.72,.682,14.95,0,4.09,8.59,2.10,6.43,2.72,1.11,0,0,0,0,3,8,3,1,12,.917,0.42,0.68,145.2,26,0,0,1,,,,,,,
677865,Justin Bruihl,20,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,3.98,20.1,1,1,0,1,3,1,9,1.23,87,61,20,0,0,198,.650,3,0,0,1,0,-.--,.500,14.95,7,2.40,5.31,2.21,8.85,4.43,1.77,2,0,0,0,0,4,1,1,6,.833,0.25,2.25,20.1,20,0,0,1,0,0,0,.---,-.--,,
457759,Justin Turner,50,50,83,139,54,32,0,11,74,44,1,112,5,.280,400,.352,.443,.795,0,3,1.000,12,1838,,,,,,,,,,,,,,,,,,,,,,177,0.60,,,,,,,,,,,,0,0,8,0,0,0,0,.000,0.00,-.--,0.0,50,0,0,0,457,73,169,.313,36.36,,
571970,Max Muncy,22,22,74,124,60,17,1,19,122,74,1,77,2,.197,391,.323,.391,.714,0,2,1.000,2,2041,,,,,,,,,,,,,,,,,,,,,,153,0.60,,,,,,,,,,,,0,0,6,0,0,0,0,.000,0.00,-.--,0.0,22,0,0,0,473,57,183,.227,20.58,,
678246,Miguel Vargas,3,3,4,7,1,1,0,0,5,1,0,3,0,.158,19,.200,.211,.411,0,1,1.000,0,90,,,,,,,,,,,,,,,,,,,,,,4,0.57,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,20,2,11,.214,-.--,,
