,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,7,72,93,35,13,0,12,50,18,0,73,2,.255,286,.302,.427,.729,1,1,.500,7,1133,308,122,38,113,0,2,.270,0.77,0,23.83,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,148,122,199,91,38,0,22,75,84,1,138,11,.263,524,.370,.462,.832,2,1,.333,17,2432,629,242,91,247,0,10,.265,0.61,0,23.82,146,248,136,7,391,.982,2.61,2.66,1299.1,147,38,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,52,45,39,16,7,0,2,83,26,0,43,4,.206,209,.304,.268,.572,1,6,.857,6,980,,56,,,0,1,,1.15,0,,0,6,1,0,7,1.000,0.13,1.09,58.0,52,0,0,0,2.02,58.0,4,0,2,2,6,0,13,1.19,240,174,52,0,0,606,.620,4,0,7,0,1.000,16.90,17,3.19,12.88,4.03,6.67,2.48,0.31,25,8,,
676801,Chas McCormick,113,81,81,43,11,2,13,103,43,0,81,1,.235,345,.321,.391,.712,3,4,.571,5,1530,390,135,41,128,0,1,.296,1.00,0,26.54,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,26,27,7,2,0,0,14,4,0,22,0,.247,89,.280,.270,.550,3,14,.824,2,357,93,24,8,33,0,0,.293,0.96,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,2.91
664299,Cristian Javier,29,65,170,44,18,1,17,187,50,0,87,6,.172,506,.254,.312,.566,2,9,.818,4,2459,,158,,,2,1,,0.38,0,,24,2,2,0,4,1.000,0.14,0.25,142.2,29,1,0,0,2.65,142.2,10,9,0,0,1,0,42,0.96,565,428,29,0,0,1563,.640,6,1,5,0,.526,17.24,0,3.74,11.80,3.15,5.49,2.78,1.07,0,0,,
682073,David Hensley,6,9,4,6,2,0,1,6,4,0,8,0,.296,27,.387,.481,.868,0,0,.---,3,123,31,13,5,13,0,0,.350,2.25,0,27.00,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,29,270,100,65,22,1,11,182,63,0,155,11,.220,703,.294,.302,.596,0,7,1.000,24,2837,,212,,,2,2,,2.70,0,,29,23,6,1,30,.967,1.00,1.37,191.0,29,0,0,1,2.69,191.0,16,5,0,0,0,0,57,1.14,781,573,29,3,1,1831,.650,11,1,11,0,.762,14.85,0,2.89,8.58,2.97,7.30,3.06,0.52,0,0,,
593576,Hector Neris,68,41,67,29,13,1,3,78,15,0,49,6,.209,234,.275,.312,.587,1,3,.750,4,980,,73,,,1,0,,0.61,0,,0,2,2,1,5,.800,0.06,0.57,63.2,68,1,0,1,3.82,63.2,6,4,3,7,25,4,27,1.01,256,191,68,0,0,653,.670,6,1,6,0,.600,15.39,25,5.20,11.03,2.12,6.93,4.10,0.42,7,1,,
686613,Hunter Brown,5,22,9,2,3,1,0,17,6,0,14,0,.226,62,.294,.306,.600,1,1,.500,2,258,,19,,,0,0,,2.44,0,,2,1,1,0,2,1.000,0.40,1.06,17.0,5,0,0,0,1.06,17.0,2,0,0,0,1,0,2,1.18,68,51,5,0,0,177,.690,0,0,0,0,1.000,15.18,0,2.83,9.00,3.18,7.41,1.06,0.00,0,0,,
665161,Jeremy Pena,128,135,116,70,20,1,20,129,22,0,124,6,.249,498,.286,.414,.700,2,11,.846,5,1916,535,206,57,192,1,5,.294,1.16,3,24.90,126,334,139,18,491,.963,3.70,3.81,1117.0,128,61,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514888,Jose Altuve,135,127,146,100,35,0,28,86,65,2,152,10,.298,510,.387,.531,.918,1,18,.947,13,2251,586,271,57,126,0,1,.312,0.87,0,18.21,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
