,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,7,72,93,35,13,0,12,50,18,0,73,2,.255,286,.302,.427,.729,1,1,.500,7,1133,308,122,38,113,0,2,.270,0.77,0,23.83,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,147,121,198,90,38,0,21,74,84,1,136,11,.262,519,.370,.457,.827,2,1,.333,17,2412,624,237,90,246,0,10,.265,0.61,0,24.71,145,246,136,7,389,.982,2.62,2.67,1290.1,146,37,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,52,45,39,16,7,0,2,83,26,0,43,4,.206,209,.304,.268,.572,1,6,.857,6,980,,56,,,0,1,,1.15,0,,0,6,1,0,7,1.000,0.13,1.09,58.0,52,0,0,0,2.02,58.0,4,0,2,2,6,0,13,1.19,240,174,52,0,0,606,.620,4,0,7,0,1.000,16.90,17,3.19,12.88,4.03,6.67,2.48,0.31,25,8,,
676801,Chas McCormick,1,80,80,43,11,2,13,101,43,0,80,1,.235,340,.322,.394,.716,3,4,.571,5,1509,385,134,41,125,0,1,.295,1.00,0,26.15,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,26,27,7,2,0,0,14,4,0,22,0,.247,89,.280,.270,.550,3,14,.824,2,357,93,24,8,33,0,0,.293,0.96,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,2.91
664299,Cristian Javier,29,65,170,44,18,1,17,187,50,0,87,6,.172,506,.254,.312,.566,2,9,.818,4,2459,,158,,,2,1,,0.38,0,,24,2,2,0,4,1.000,0.14,0.25,142.2,29,1,0,0,2.65,142.2,10,9,0,0,1,0,42,0.96,565,428,29,0,0,1563,.640,6,1,5,0,.526,17.24,0,3.74,11.80,3.15,5.49,2.78,1.07,0,0,,
682073,David Hensley,5,9,3,4,2,0,0,6,4,0,6,0,.250,24,.357,.333,.690,0,0,.---,3,110,28,8,2,13,0,0,.333,3.00,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,29,270,100,65,22,1,11,182,63,0,155,11,.220,703,.294,.302,.596,0,7,1.000,24,2837,,212,,,2,2,,2.70,0,,29,23,6,1,30,.967,1.00,1.37,191.0,29,0,0,1,2.69,191.0,16,5,0,0,0,0,57,1.14,781,573,29,3,1,1831,.650,11,1,11,0,.762,14.85,0,2.89,8.58,2.97,7.30,3.06,0.52,0,0,,
593576,Hector Neris,68,41,67,29,13,1,3,78,15,0,49,6,.209,234,.275,.312,.587,1,3,.750,4,980,,73,,,1,0,,0.61,0,,0,2,2,1,5,.800,0.06,0.57,63.2,68,1,0,1,3.82,63.2,6,4,3,7,25,4,27,1.01,256,191,68,0,0,653,.670,6,1,6,0,.600,15.39,25,5.20,11.03,2.12,6.93,4.10,0.42,7,1,,
686613,Hunter Brown,4,21,9,2,3,1,0,15,4,0,13,0,.224,58,.274,.310,.584,1,1,.500,2,231,,18,,,0,0,,2.33,0,,2,1,1,0,2,1.000,0.50,1.13,16.0,4,0,0,0,1.13,16.0,2,0,0,0,1,0,2,1.06,62,48,4,0,0,163,.710,0,0,0,0,1.000,14.44,0,3.75,8.44,2.25,7.31,1.13,0.00,0,0,,
665161,Jeremy Pena,127,133,115,68,20,1,19,129,22,0,122,6,.247,493,.285,.408,.693,2,11,.846,5,1901,530,201,55,191,1,5,.294,1.16,3,25.95,125,332,138,17,487,.965,3.70,3.82,1108.0,127,61,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514888,Jose Altuve,134,127,145,96,34,0,26,86,64,2,149,10,.294,506,.384,.516,.900,1,18,.947,13,2230,581,261,55,126,0,1,.311,0.88,0,19.46,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664353,Jose Urquidy,28,133,210,72,33,1,27,133,36,0,152,7,.244,622,.291,.431,.722,3,11,.786,8,2596,,268,,,0,6,,0.63,0,,28,10,6,0,16,1.000,0.57,0.89,162.1,28,1,0,0,3.88,162.1,13,8,0,0,0,0,70,1.16,671,487,28,0,0,1762,.680,7,0,5,0,.619,15.99,0,3.69,7.37,2.00,8.43,3.99,1.50,0,0,,
434378,Justin Verlander,26,125,187,41,13,1,12,167,27,0,110,5,.188,584,.229,.276,.505,3,8,.727,8,2429,,161,,,1,4,,0.67,0,,26,15,4,0,19,1.000,0.73,1.05,163.0,26,2,0,0,1.82,163.0,17,4,0,0,0,0,33,0.84,621,489,26,0,0,1665,.690,5,0,2,0,.810,14.90,0,6.19,9.22,1.49,6.07,2.26,0.66,0,0,,
663656,Kyle Tucker,3,122,174,69,28,1,29,91,57,4,135,0,.260,520,.332,.485,.817,4,23,.852,11,2164,582,252,104,238,0,2,.264,0.70,3,17.93,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621121,McCullers Jr.,7,43,33,11,8,0,3,45,21,0,31,0,.205,151,.301,.318,.619,1,2,.667,3,665,,48,,,0,1,,1.30,0,,7,2,2,0,4,1.000,0.57,0.88,41.2,7,0,0,0,2.38,41.2,4,1,0,0,0,0,11,1.25,173,125,7,0,0,404,.610,0,0,1,0,.800,15.96,0,2.14,9.72,4.54,6.70,2.38,0.65,0,0,,
671277,Luis Garcia,59,106,63,26,20,2,6,75,9,1,89,1,.271,328,.289,.399,.688,4,3,.429,5,1193,343,131,38,143,1,4,.331,1.68,0,54.67,58,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455117,Martin Maldonado,107,82,81,39,12,0,14,109,22,0,62,7,.188,329,.253,.353,.606,14,42,.750,6,1430,363,116,44,166,3,2,.231,1.01,0,23.50,104,44,966,2,1012,.998,9.44,10.04,905.2,107,3,0,2,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,8,2.98
643289,Mauricio Dubon,1,10,23,10,1,0,2,4,1,0,11,0,.239,46,.245,.391,.636,0,0,.---,0,149,49,18,8,32,0,2,.214,0.43,0,23.00,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664208,Phil Maton,63,52,59,30,8,1,8,64,22,2,53,7,.237,224,.320,.388,.708,1,2,.667,7,992,,87,,,1,3,,0.88,0,,0,5,1,1,7,.857,0.10,0.90,60.1,63,1,0,1,3.58,60.1,0,2,0,2,13,2,24,1.24,257,181,63,0,0,640,.650,7,0,0,0,.000,16.44,8,2.91,9.55,3.28,7.91,4.48,1.19,27,5,,
