,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,6,64,83,31,12,0,10,46,17,0,66,2,.256,258,.306,.419,.725,1,1,.500,7,1026,278,108,32,105,0,1,.276,0.77,0,25.80,6,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,135,110,179,86,35,0,21,72,81,1,129,8,.268,482,.377,.471,.848,2,1,.333,17,2238,579,227,84,225,0,8,.272,0.61,0,22.95,134,224,129,7,360,.981,2.61,2.66,1193.1,135,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,46,42,37,14,7,0,1,75,22,0,37,4,.195,190,.290,.247,.537,1,3,.750,6,886,,47,,,0,1,,1.14,0,,0,6,1,0,7,1.000,0.15,1.19,53.2,46,0,0,0,1.84,53.2,4,0,2,2,5,0,11,1.10,217,161,46,0,0,549,.620,4,0,7,0,1.000,16.51,15,3.41,12.58,3.69,6.20,2.35,0.17,21,8,,
676801,Chas McCormick,1,73,74,39,11,2,13,90,38,0,73,1,.236,309,.321,.411,.732,2,2,.500,5,1351,349,127,41,118,0,1,.290,0.99,0,23.77,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,18,22,5,0,0,0,9,4,0,16,0,.246,65,.290,.246,.536,3,10,.769,1,269,69,16,5,26,0,0,.286,0.82,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,0,3.11
664299,Cristian Javier,26,55,153,44,18,1,17,165,46,0,83,6,.183,453,.267,.340,.607,2,9,.818,3,2203,,154,,,2,1,,0.36,0,,21,1,2,0,3,1.000,0.12,0.22,125.2,26,0,0,0,3.01,125.2,8,9,0,0,1,0,42,1.03,508,377,26,0,0,1386,.630,6,1,5,0,.471,17.53,0,3.59,11.82,3.29,5.94,3.15,1.22,0,0,,
682073,David Hensley,4,5,1,3,2,0,0,5,2,0,6,0,.353,17,.421,.471,.892,0,0,.---,2,68,19,8,2,9,0,0,.500,5.00,0,-.--,3,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,27,253,96,56,21,1,9,169,61,0,139,11,.213,653,.290,.289,.579,0,7,1.000,23,2647,,189,,,2,2,,2.64,0,,27,20,5,1,26,.962,0.93,1.26,179.2,27,0,0,1,2.50,179.2,15,5,0,0,0,0,50,1.11,729,539,27,3,1,1711,.650,11,1,10,0,.750,14.73,0,2.77,8.47,3.06,6.96,2.81,0.45,0,0,,
593576,Hector Neris,63,37,66,24,13,1,3,72,15,0,42,6,.194,217,.265,.304,.569,1,3,.750,4,914,,66,,,0,0,,0.56,0,,0,2,2,0,4,1.000,0.06,0.60,60.1,63,1,0,0,3.43,60.1,5,4,3,6,24,3,23,0.94,238,181,63,0,0,610,.670,6,1,5,0,.556,15.15,24,4.80,10.74,2.24,6.27,3.58,0.45,6,1,,
686613,Hunter Brown,2,14,8,2,2,1,0,11,3,0,8,0,.195,41,.250,.293,.543,1,0,.000,2,161,,12,,,0,0,,1.75,0,,2,1,1,0,2,1.000,1.00,1.50,12.0,2,0,0,0,1.50,12.0,2,0,0,0,0,0,2,0.92,44,36,2,0,0,113,.700,0,0,0,0,1.000,13.42,0,3.67,8.25,2.25,6.00,1.50,0.00,0,0,,
665161,Jeremy Pena,116,123,100,59,18,1,17,123,19,0,114,5,.251,455,.285,.407,.692,2,10,.833,4,1759,487,185,48,178,0,5,.303,1.23,3,26.76,115,311,131,15,457,.967,3.81,3.89,1023.0,116,58,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514888,Jose Altuve,2,120,133,86,33,0,24,81,57,2,138,9,.293,471,.379,.516,.895,1,17,.944,12,2058,538,243,52,119,0,1,.311,0.90,0,19.62,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664353,Jose Urquidy,26,122,199,65,33,0,24,121,33,0,142,7,.245,579,.292,.427,.719,3,8,.727,8,2409,,247,,,0,5,,0.61,0,,26,10,4,0,14,1.000,0.54,0.83,151.0,26,1,0,0,3.75,151.0,13,6,0,0,0,0,63,1.16,624,453,26,0,0,1638,.680,7,0,5,0,.684,15.95,0,3.67,7.21,1.97,8.46,3.87,1.43,0,0,,
663656,Kyle Tucker,3,109,164,65,25,1,26,84,54,3,123,0,.257,478,.331,.477,.808,2,22,.917,10,2021,537,228,95,224,0,2,.262,0.66,3,18.38,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621121,McCullers Jr.,5,28,28,7,5,0,2,26,15,0,23,0,.221,104,.317,.327,.644,1,2,.667,3,464,,34,,,0,1,,1.00,0,,5,1,1,0,2,1.000,0.40,0.64,28.2,5,0,0,0,2.20,28.2,3,1,0,0,0,0,7,1.33,120,86,5,0,0,278,.600,0,0,0,0,.750,16.19,0,1.73,8.16,4.71,7.22,2.20,0.63,0,0,,
671277,Luis Garcia,59,92,54,23,18,2,6,64,5,0,84,1,.290,290,.301,.428,.729,4,2,.333,4,1053,300,124,36,131,1,3,.350,1.70,0,48.33,58,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455117,Martin Maldonado,101,78,78,32,12,0,12,104,21,0,53,7,.172,308,.240,.328,.568,13,37,.740,5,1355,341,101,38,157,3,2,.211,1.00,0,25.67,98,41,900,2,943,.998,9.32,9.93,853.2,101,3,0,2,,,,,,,,,,,,,,,,,,,,29,1,,,,,,,,,,,,8,2.98
643289,Mauricio Dubon,1,10,23,10,1,0,2,4,1,0,11,0,.239,46,.245,.391,.636,0,0,.---,0,149,49,18,8,32,0,2,.214,0.43,0,23.00,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
