,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
608324,Alex Bregman,129,108,170,81,34,0,20,70,74,1,123,7,.266,463,.370,.469,.839,1,1,.500,17,2122,552,217,78,214,0,8,.270,0.64,0,23.15,128,212,124,7,343,.980,2.60,2.66,1138.1,129,33,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656232,Brandon Bielak,5,13,11,5,1,0,2,12,4,0,11,3,.234,47,.333,.383,.716,0,0,.---,1,226,,18,,,0,0,,1.18,0,,0,0,0,0,0,.000,0.00,0.00,12.1,5,0,0,0,3.65,12.1,0,0,0,0,1,0,5,1.22,54,37,5,0,0,139,.620,3,0,1,0,.---,18.32,2,3.00,8.76,2.92,8.03,3.65,1.46,1,0,,
650556,Bryan Abreu,44,38,35,14,7,0,1,73,21,0,36,4,.199,181,.295,.254,.549,1,3,.750,5,857,,46,,,0,1,,1.09,0,,0,6,1,0,7,1.000,0.16,1.26,50.2,44,0,0,0,1.95,50.2,4,0,2,2,5,0,11,1.13,207,152,44,0,0,532,.620,4,0,7,0,1.000,16.91,15,3.48,12.97,3.73,6.39,2.49,0.18,19,8,,
676801,Chas McCormick,1,70,71,38,11,2,12,87,37,0,70,1,.236,297,.321,.407,.728,2,2,.500,5,1298,336,121,38,115,0,1,.291,0.99,0,24.75,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,17,17,5,0,0,0,7,3,0,16,0,.281,57,.317,.281,.598,3,9,.750,1,229,60,16,5,20,0,0,.320,1.00,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,0,3.23
664299,Cristian Javier,25,52,147,41,18,1,16,157,44,0,79,6,.182,433,.267,.339,.606,2,8,.800,3,2107,,147,,,1,1,,0.35,0,,20,1,2,0,3,1.000,0.12,0.23,120.1,25,0,0,0,3.07,120.1,8,9,0,0,1,0,41,1.02,485,361,25,0,0,1324,.630,6,1,5,0,.471,17.51,0,3.57,11.74,3.29,5.91,3.07,1.20,0,0,,
682073,David Hensley,3,4,1,3,2,0,0,5,1,0,6,0,.375,16,.412,.500,.912,0,0,.---,1,62,17,8,2,8,0,0,.545,4.00,0,-.--,2,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,26,243,89,56,20,1,9,161,60,0,133,11,.214,622,.294,.293,.587,0,7,1.000,22,2540,,182,,,2,2,,2.73,0,,26,20,5,1,26,.962,0.96,1.32,170.2,26,0,0,1,2.64,170.2,14,5,0,0,0,0,50,1.13,697,512,26,2,0,1639,.650,11,1,9,0,.737,14.88,0,2.68,8.49,3.16,7.01,2.95,0.47,0,0,,
593576,Hector Neris,60,35,63,22,12,1,2,68,15,0,39,6,.190,205,.265,.288,.553,1,3,.750,4,871,,59,,,0,0,,0.56,0,,0,2,1,0,3,1.000,0.05,0.47,57.1,60,1,0,0,3.30,57.1,4,4,3,6,24,3,21,0.94,226,172,60,0,0,576,.660,6,1,5,0,.500,15.19,22,4.53,10.67,2.35,6.12,3.45,0.31,6,1,,
656695,J.J. Matijevic,11,16,11,7,2,0,2,24,2,0,14,2,.215,65,.261,.338,.599,0,1,1.000,1,264,69,22,5,31,0,0,.308,1.45,0,32.50,8,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
